dong,floorLabel,floor,ho,type,supply_m2,pyeong,rawTooltip
101동,34층,34,3401,98A,98.85,29.9,공급 98.85A㎡
101동,34층,34,3402,98C1,98.04,29.66,공급 98.04C1㎡
101동,34층,34,3404,145,145.05,43.88,공급 145.05㎡
101동,34층,34,3405,98D,98.96,29.94,공급 98.96D㎡
101동,33층,33,3301,98A,98.85,29.9,공급 98.85A㎡
101동,33층,33,3302,98C1,98.04,29.66,공급 98.04C1㎡
101동,33층,33,3303,114A,114.57,34.66,공급 114.57A㎡
101동,33층,33,3304,113B,113.93,34.46,공급 113.93B㎡
101동,33층,33,3305,98D,98.96,29.94,공급 98.96D㎡
101동,32층,32,3201,98A,98.85,29.9,공급 98.85A㎡
101동,32층,32,3202,98C1,98.04,29.66,공급 98.04C1㎡
101동,32층,32,3203,114A,114.57,34.66,공급 114.57A㎡
101동,32층,32,3204,113B,113.93,34.46,공급 113.93B㎡
101동,32층,32,3205,98D,98.96,29.94,공급 98.96D㎡
101동,31층,31,3101,98A,98.85,29.9,공급 98.85A㎡
101동,31층,31,3102,98C1,98.04,29.66,공급 98.04C1㎡
101동,31층,31,3103,114A,114.57,34.66,공급 114.57A㎡
101동,31층,31,3104,113B,113.93,34.46,공급 113.93B㎡
101동,31층,31,3105,98D,98.96,29.94,공급 98.96D㎡
101동,30층,30,3001,98A,98.85,29.9,공급 98.85A㎡
101동,30층,30,3002,98C1,98.04,29.66,공급 98.04C1㎡
101동,30층,30,3003,114A,114.57,34.66,공급 114.57A㎡
101동,30층,30,3004,113B,113.93,34.46,공급 113.93B㎡
101동,30층,30,3005,98D,98.96,29.94,공급 98.96D㎡
101동,29층,29,2901,98A,98.85,29.9,공급 98.85A㎡
101동,29층,29,2902,98C1,98.04,29.66,공급 98.04C1㎡
101동,29층,29,2903,114A,114.57,34.66,공급 114.57A㎡
101동,29층,29,2904,113B,113.93,34.46,공급 113.93B㎡
101동,29층,29,2905,98D,98.96,29.94,공급 98.96D㎡
101동,28층,28,2801,98A,98.85,29.9,공급 98.85A㎡
101동,28층,28,2802,98C1,98.04,29.66,공급 98.04C1㎡
101동,28층,28,2803,114A,114.57,34.66,공급 114.57A㎡
101동,28층,28,2804,113B,113.93,34.46,공급 113.93B㎡
101동,28층,28,2805,98D,98.96,29.94,공급 98.96D㎡
101동,27층,27,2701,98A,98.85,29.9,공급 98.85A㎡
101동,27층,27,2702,98C1,98.04,29.66,공급 98.04C1㎡
101동,27층,27,2703,114A,114.57,34.66,공급 114.57A㎡
101동,27층,27,2704,113B,113.93,34.46,공급 113.93B㎡
101동,27층,27,2705,98D,98.96,29.94,공급 98.96D㎡
101동,26층,26,2601,98A,98.85,29.9,공급 98.85A㎡
