dong,floorLabel,floor,ho,type,supply_m2,pyeong,rawTooltip
201동,35층,35,3502,84C,84.39,25.53,공급 84.39C㎡
201동,35층,35,3503,83A,83.9,25.38,공급 83.9A㎡
201동,35층,35,3504,83A,83.9,25.38,공급 83.9A㎡
201동,35층,35,3505,100D,100.9,30.52,공급 100.9D㎡
201동,34층,34,3401,84B,84.06,25.43,공급 84.06B㎡
201동,34층,34,3402,84C,84.39,25.53,공급 84.39C㎡
201동,34층,34,3403,83A,83.9,25.38,공급 83.9A㎡
201동,34층,34,3404,83A,83.9,25.38,공급 83.9A㎡
201동,34층,34,3405,100D,100.9,30.52,공급 100.9D㎡
201동,33층,33,3301,84B,84.06,25.43,공급 84.06B㎡
201동,33층,33,3302,84C,84.39,25.53,공급 84.39C㎡
201동,33층,33,3303,83A,83.9,25.38,공급 83.9A㎡
201동,33층,33,3304,83A,83.9,25.38,공급 83.9A㎡
201동,33층,33,3305,100D,100.9,30.52,공급 100.9D㎡
201동,32층,32,3201,84B,84.06,25.43,공급 84.06B㎡
201동,32층,32,3202,84C,84.39,25.53,공급 84.39C㎡
201동,32층,32,3203,83A,83.9,25.38,공급 83.9A㎡
201동,32층,32,3204,83A,83.9,25.38,공급 83.9A㎡
201동,32층,32,3205,100D,100.9,30.52,공급 100.9D㎡
201동,31층,31,3101,84B,84.06,25.43,공급 84.06B㎡
201동,31층,31,3102,84C,84.39,25.53,공급 84.39C㎡
201동,31층,31,3103,83A,83.9,25.38,공급 83.9A㎡
201동,31층,31,3104,83A,83.9,25.38,공급 83.9A㎡
201동,31층,31,3105,100D,100.9,30.52,공급 100.9D㎡
201동,30층,30,3001,84B,84.06,25.43,공급 84.06B㎡
201동,30층,30,3002,84C,84.39,25.53,공급 84.39C㎡
201동,30층,30,3003,83A,83.9,25.38,공급 83.9A㎡
201동,30층,30,3004,83A,83.9,25.38,공급 83.9A㎡
201동,30층,30,3005,100D,100.9,30.52,공급 100.9D㎡
201동,29층,29,2901,84B,84.06,25.43,공급 84.06B㎡
201동,29층,29,2902,84C,84.39,25.53,공급 84.39C㎡
201동,29층,29,2903,83A,83.9,25.38,공급 83.9A㎡
201동,29층,29,2904,83A,83.9,25.38,공급 83.9A㎡
201동,29층,29,2905,100D,100.9,30.52,공급 100.9D㎡
201동,28층,28,2801,84B,84.06,25.43,공급 84.06B㎡
201동,28층,28,2802,84C,84.39,25.53,공급 84.39C㎡
201동,28층,28,2803,83A,83.9,25.38,공급 83.9A㎡
201동,28층,28,2804,83A,83.9,25.38,공급 83.9A㎡
201동,28층,28,2805,100D,100.9,30.52,공급 100.9D㎡
201동,27층,27,2701,84B,84.06,25.43,공급 84.06B㎡
201동,27층,27,2702,84C,84.39,25.53,공급 84.39C㎡
201동,27층,27,2703,83A,83.9,25.38,공급 83.9A㎡
201동,27층,27,2704,83A,83.9,25.38,공급 83.9A㎡
201동,27층,27,2705,100D,100.9,30.52,공급 100.9D㎡
201동,26층,26,2601,84B,84.06,25.43,공급 84.06B㎡
201동,26층,26,2602,84C,84.39,25.53,공급 84.39C㎡
201동,26층,26,2603,83A,83.9,25.38,공급 83.9A㎡
201동,26층,26,2604,83A,83.9,25.38,공급 83.9A㎡
201동,26층,26,2605,100D,100.9,30.52,공급 100.9D㎡
201동,25층,25,2501,84B,84.06,25.43,공급 84.06B㎡
201동,25층,25,2502,84C,84.39,25.53,공급 84.39C㎡
201동,25층,25,2503,83A,83.9,25.38,공급 83.9A㎡
201동,25층,25,2504,83A,83.9,25.38,공급 83.9A㎡
201동,25층,25,2505,100D,100.9,30.52,공급 100.9D㎡
201동,24층,24,2401,84B,84.06,25.43,공급 84.06B㎡
201동,24층,24,2402,84C,84.39,25.53,공급 84.39C㎡
201동,24층,24,2403,83A,83.9,25.38,공급 83.9A㎡
201동,24층,24,2404,83A,83.9,25.38,공급 83.9A㎡
201동,24층,24,2405,100D,100.9,30.52,공급 100.9D㎡
201동,23층,23,2301,84B,84.06,25.43,공급 84.06B㎡
201동,23층,23,2302,84C,84.39,25.53,공급 84.39C㎡
201동,23층,23,2303,83A,83.9,25.38,공급 83.9A㎡
201동,23층,23,2304,83A,83.9,25.38,공급 83.9A㎡
201동,23층,23,2305,100D,100.9,30.52,공급 100.9D㎡
201동,22층,22,2201,84B,84.06,25.43,공급 84.06B㎡
201동,22층,22,2202,84C,84.39,25.53,공급 84.39C㎡
201동,22층,22,2203,83A,83.9,25.38,공급 83.9A㎡
201동,22층,22,2204,83A,83.9,25.38,공급 83.9A㎡
201동,22층,22,2205,100D,100.9,30.52,공급 100.9D㎡
201동,21층,21,2101,84B,84.06,25.43,공급 84.06B㎡
201동,21층,21,2102,84C,84.39,25.53,공급 84.39C㎡
201동,21층,21,2103,83A,83.9,25.38,공급 83.9A㎡
201동,21층,21,2104,83A,83.9,25.38,공급 83.9A㎡
201동,21층,21,2105,100D,100.9,30.52,공급 100.9D㎡
201동,20층,20,2001,84B,84.06,25.43,공급 84.06B㎡
201동,20층,20,2002,84C,84.39,25.53,공급 84.39C㎡
201동,20층,20,2003,83A,83.9,25.38,공급 83.9A㎡
201동,20층,20,2004,83A,83.9,25.38,공급 83.9A㎡
201동,20층,20,2005,100D,100.9,30.52,공급 100.9D㎡
201동,19층,19,1901,84B,84.06,25.43,공급 84.06B㎡
201동,19층,19,1902,84C,84.39,25.53,공급 84.39C㎡
201동,19층,19,1903,83A,83.9,25.38,공급 83.9A㎡
201동,19층,19,1904,83A,83.9,25.38,공급 83.9A㎡
201동,19층,19,1905,100D,100.9,30.52,공급 100.9D㎡
201동,18층,18,1801,84B,84.06,25.43,공급 84.06B㎡
201동,18층,18,1802,84C,84.39,25.53,공급 84.39C㎡
201동,18층,18,1803,83A,83.9,25.38,공급 83.9A㎡
201동,18층,18,1804,83A,83.9,25.38,공급 83.9A㎡
201동,18층,18,1805,100D,100.9,30.52,공급 100.9D㎡
201동,17층,17,1701,84B,84.06,25.43,공급 84.06B㎡
201동,17층,17,1702,84C,84.39,25.53,공급 84.39C㎡
201동,17층,17,1703,83A,83.9,25.38,공급 83.9A㎡
201동,17층,17,1704,83A,83.9,25.38,공급 83.9A㎡
201동,17층,17,1705,100D,100.9,30.52,공급 100.9D㎡
201동,16층,16,1601,84B,84.06,25.43,공급 84.06B㎡
201동,16층,16,1602,84C,84.39,25.53,공급 84.39C㎡
201동,16층,16,1603,83A,83.9,25.38,공급 83.9A㎡
